,KL,JB,SG,PJ
91,7884840,8498196,6773384,8875718
92,5404532,7316146,5993298,6244179
93,7358543,8143885,5553949,9250470
94,7688337,5744151,7071138,6309215
95,9295356,7784228,5162669,7160773
96,5595504,7237451,8845044,7368088
97,5486451,7596596,7478200,5641714
98,7646979,5982985,8114577,6266046
99,7631627,5233428,5762619,5614749
100,8587413,7175483,7139351,5455359
101,5028695,9760538,7699108,6820104
102,5127986,7806247,6673910,7065372
103,9051646,6390134,9372101,9493363
104,7057840,5197306,8219986,5964927
105,9734932,8700837,7845125,6971624
106,7663098,7838956,5453283,6466126
107,7627214,5211712,5298896,6588636
108,7539634,7285651,9724286,7699575
109,6730021,8249658,7547605,6054470
110,6282364,7452142,8972114,5648908
111,7259529,9148917,7886936,8503642
112,8717122,9141293,8542678,9892700
113,6365390,6298246,5595373,8437399
114,9237299,7675619,9927524,8950015
115,7079836,6427355,7151688,6146909
116,8924618,6538799,8789147,6800679
117,8101695,6647052,6579121,6700937
118,8816198,6049366,8103446,5339918
119,8801459,6789061,7010639,9228564
120,5604107,7155699,7813962,8743891
121,9276739,7789668,6995266,7024370
122,7697188,9916882,7134207,7444373
123,9002627,9895790,5829851,5351263
124,7517003,9804644,6931306,7491576
125,7141826,6891277,6991874,7169703
126,7743493,8153601,7322169,8030929
127,8816931,8938302,7338325,9860870
128,7346752,9163626,8772943,7486365
129,7078371,9014699,7155554,9656071
130,8873216,5047766,5745501,5585421
131,5953903,9984235,8023256,7024731
132,9248369,9916507,8778108,5569546
133,7811603,9000375,8375338,7381252
134,8330341,7807177,7907864,5084276
135,5729783,5924175,6810415,6703675
136,5431211,8871027,9982824,6834536
137,7892270,7756607,8432724,7156845
138,5507232,5162988,7351774,6651387
139,5888778,9853646,8106093,6785106
140,5251247,6506574,6550315,7717012
141,6190261,8084593,5436651,9292757
142,5611703,8060045,9987982,9571238
143,6226892,9698858,9401439,7868279
144,6464634,7020827,9198623,9230193
145,6172038,9935804,8602941,5508758
146,5988444,5861856,5240461,8911917
147,7043011,7539285,9125918,8003248
148,7081769,6753257,8541343,5152461
149,5564610,5906081,7261368,9833682
150,7807641,7791059,7407258,5317523
151,9959952,7262180,7024883,8594341
152,7691670,5790862,8390492,9998388
153,6133958,8616422,7849769,6541102
154,6577295,7733330,5280465,6353786
155,5958271,5404018,6649310,8373972
156,7298913,7316010,7088843,8590318
157,8949781,8943149,5939372,8728709
158,9532009,8747711,7888480,8597544
159,8999347,8194211,9902952,9998144
160,7118579,7530311,6416224,7450444
161,7402219,9858778,6186719,6502680
162,7265685,8098922,6453249,9446454
163,7374231,9554835,9337989,8020693
164,6457404,8567734,9022057,9279418
165,9886468,6443169,9319140,6828203
166,6684636,7331326,5060842,5906319
167,5929978,6639572,5729388,8688613
168,5284161,8233861,9639911,9517973
169,9162934,7566875,8158612,7025971
170,5170168,7511579,8694367,5874734
171,7721702,8671857,9298813,7581653
172,9820885,6509824,9286139,9658618
173,7593523,6335605,7221891,9030770
174,6542973,8917597,9729739,7476918
175,5851126,6164540,7030511,7216139
176,8545831,8516754,5874026,6854583
177,5330737,9645550,5341228,8398873
178,6109651,5953645,7345843,7441155
179,5782323,9487403,5331101,8777493
180,7325316,5301200,7971988,9626346
181,7891484,9693651,7606305,9822027
182,5490078,6621851,6057132,8980934
183,9926873,9225598,7827440,7056289
184,5340830,6702122,9254228,5678716
185,8763241,6847540,6943259,8321918
186,5948835,6262266,7971315,8184905
187,5182769,6456592,5445502,5236766
188,6229905,6150834,6024500,6709031
189,9281296,6094649,8967900,5915884
190,6466874,6073164,6198555,6466051
191,9742180,6673180,7157297,8580618
192,8265306,7183899,7340394,8206556
193,5795590,6643960,8812485,5584550
194,6124098,6085280,8760595,6286002
195,6927297,6191288,5590972,6161640
196,9625640,7118264,7793693,8159260
197,6391180,8703990,9711020,8468756
198,5514082,5128956,9739801,9362885
199,5641095,9418128,6770079,7509223
200,5057766,5456055,6154965,8396686
201,6572967,6674027,6900156,7671176
202,8990675,5509400,7797624,5791879
203,6736386,8056564,7653618,8631862
204,9695212,9510719,5749297,9366615
205,7514274,9560352,8118106,6989053
206,7523480,8783562,9254051,7433355
207,5473740,5148986,6224045,6246746
208,8597766,6732898,5801940,9174658
209,7119189,8863273,8663134,6696071
210,9890467,5573235,9855763,8202389
211,8938088,5614375,9942523,7494070
212,8135271,5630339,7319798,5687973
213,6517100,5652254,9544721,5303720
214,8639168,8533460,7445411,5360326
215,5247957,7409499,6051664,7610718
216,6196940,9940946,9932592,7543912
217,5896768,9116635,8602115,6233117
218,7886782,7317246,9320751,8165445
219,9669886,6813170,6420306,9722369
220,7564722,5856522,5422787,8319396
221,6499943,5217609,7642253,7766731
222,8119069,6020289,6399958,5381439
223,6129836,9627014,9088628,6722517
224,7091476,9204229,8459042,8144332
225,8155928,9890871,9871087,5385307
226,5472139,5648236,5953374,7998087
227,9287154,8476118,9604233,5049853
228,5586678,7902883,5506950,5361991
229,8048226,6403706,9324758,8562988
230,9255702,7312344,7873358,5581008
231,8438076,9643583,9508417,9537446
232,8374214,9133766,8223723,6894002
233,7174746,8936217,8640346,7687495
234,8262391,6412587,7880343,6444176
235,8212988,8460826,7256957,9708909
236,8702571,5672582,6606168,9986226
237,5916675,6762565,7086872,6116912
238,6760478,7401716,7044923,5991658
239,5377216,8211237,5369082,9825893
240,9735845,9159041,8927612,7811009
241,5505564,6748084,8643342,9296715
242,6112714,5385052,6283225,9504737
243,7020675,9381078,8299850,6917238
244,5308542,9458628,5013553,5585241
245,8976940,8456137,8160993,5165150
246,5961211,8331818,5773726,5357712
247,8583375,7807328,8931771,8234537
248,9730294,6136301,9018536,8631180
249,8562572,7242124,9682483,8334080
250,7319913,9046767,7771013,7235328
251,6175191,5399077,9823933,9720488
252,6987485,5356832,7307718,8964199
253,7332797,8718576,5686846,9273896
254,6919105,6272327,9338253,5526481
255,7167887,7585179,8546091,6291540
256,8107279,5161839,8605628,8449667
257,8337298,8752195,8952878,6963736
258,7391231,9755710,8373143,7562233
259,6713420,9061829,6552079,7223986
260,9739404,6629542,6008429,8893004
261,8610426,8499558,5902933,7373142
262,7392780,6036143,5962449,6636148
263,8822970,8376445,9828880,9717951
264,8016727,9913860,7398771,8567824
265,8046466,8983086,6003418,5010352
266,6773742,5800496,5685828,5348595
267,6106638,6747363,7606176,9880592
268,7058687,5653356,9066866,8970695
269,5849770,5015903,8019964,8752165
270,8345190,9877051,9437274,6685039
271,9986746,6689788,8670328,9531527
272,8057745,9208980,7474046,6540508
273,9740758,9662269,5903339,9753485
274,7522147,5692946,7679472,5600460
275,9910705,9662871,7270073,6165139
276,7793975,6059491,9375660,8103648
277,6226987,8404885,9039800,5742504
278,6798956,5849874,6664045,6864610
279,7956030,8244718,5078664,5681197
280,5712536,7333761,9019716,8691450
281,7845796,9313500,7408220,5780692
282,7982648,6420553,8858213,8549248
283,9525021,8133029,8515725,9294851
284,5959120,7862641,7564926,8066502
285,6202867,8961238,9752350,6435307
286,6701566,8814879,7440181,7063059
287,6184761,9327653,9157718,5291791
288,7856121,5909735,6819335,6299607
289,5806301,9464984,7028953,5997454
290,8989281,6187544,9756059,8296008
291,8690243,8771307,8013888,8155421
292,5830628,7270750,5560540,5298164
293,6621533,5602603,5962731,7602566
294,8811982,7425939,6842456,6495596
295,6269089,8320583,6781577,9963923
296,7165664,6244129,6577519,5237615
297,5502992,6475059,9977775,6302376
298,5900606,5741442,7693678,7962458
299,7445782,8991876,6218551,6385007
300,9714946,7269163,9861488,7023867
301,9486511,8372712,5620695,5715056
302,6544453,7370031,7572550,7820898
303,9696996,9377984,9141850,9508521
304,8805916,9784796,8606048,5788944
305,7144741,5176470,6393519,8194767
306,6509653,6961677,8514549,8091926
307,9778155,5066003,6726566,9613795
308,7793961,9886012,8320208,7572545
309,5751224,8910207,5482822,6302698
310,6744368,9796517,9333155,7131683
311,7133121,6924425,5221201,7404699
312,7320327,5746597,8726024,5446064
313,9076159,9553869,7953449,8055303
314,7976791,9259337,9678252,8809610
315,5188578,5296904,9839837,7202415
316,9915194,5010913,7955759,6169586
317,6916198,6458242,8493228,8313882
318,8217715,7449031,8136188,6983661
319,5376285,9118716,7371847,7041380
320,5709792,8436267,7425032,7159279
321,9206157,5017331,7603741,6709209
322,9526345,8991867,8113985,6912919
323,7758368,5757070,5302489,7704700
324,7208654,7357638,9637612,5112374
325,8958052,9195816,7984684,5409457
326,5475166,7477100,7174394,7643955
327,6686465,6550853,8401209,5561869
328,5054361,6421276,6489974,8771299
329,7241594,9460631,8396084,5138861
330,6118211,6396191,8577288,6195718
331,5714307,5865706,8302785,5963525
332,8936936,5343921,5993329,6304685
333,9666738,7305047,6151638,9501712
334,6512805,7419305,6796387,6699449
335,5162936,5436496,7333588,9768313
336,7704733,7947081,7034032,7113126
337,9117348,7748190,8718499,8673249
338,7260762,7795847,9313802,9750495
339,8027930,6331850,7672841,5170191
340,9479186,8056790,8907719,8799263
341,8150908,9640676,9099149,7862545
342,5662242,9085143,7499033,9568129
343,5072095,6633786,6766947,9367389
344,9342309,7310918,7108780,8642467
345,6751861,7751770,7893962,8376449
346,6560285,6126073,5779561,6701387
347,9331472,9110637,5216747,9115380
348,6323003,6348742,7974754,7563050
349,8556483,8372041,7153503,7200163
350,9370092,8582144,6908318,7361191
351,5315563,7965640,7319437,7113537
352,5211686,6567611,6551277,7835499
353,9935400,9500376,6103013,9843036
354,6394473,8811604,9967905,9978979
355,9550566,6625625,9105491,6907137
356,6590039,8766898,7711644,7509581
357,8736499,6291466,6301012,6922131
358,7487891,5177687,7098369,9181518
359,6519231,9203219,7079293,8643977
360,7193910,7300059,8930188,9698413
361,6923421,6918992,9883668,9755739
362,6343947,9291262,7503343,8583828
363,9168999,8277240,7367637,5276702
364,9650675,9064089,9765717,6124151
365,8586816,9275466,8061657,8621992
366,9611054,6494322,9662585,9893972
367,7730203,5521639,5515824,9046129
368,9722279,9511297,5301303,9019296
369,8571069,7250491,8171875,9028783
370,5706609,6817316,6704947,9138616
371,6496880,7158236,9117659,6018474
372,9229295,9183460,5759452,8903351
373,6684025,6368077,8682212,8708057
374,6665521,5594547,5448778,6788453
375,9823131,9595316,6549351,7696534
376,6258753,6856141,7490286,8122581
377,5171105,9487727,7932503,6424668
378,5729368,8945354,7742557,5662552
379,6924135,7224158,9326538,6512506
380,6274863,9256027,5623202,9539253
381,7202414,5132855,5318405,7948356
382,9778605,9328780,6215880,7090957
383,8664581,5046172,7453597,7771802
384,9778025,6862568,7839159,5430812
385,9774411,6330038,6130328,8713236
386,5452245,6706404,5171414,8788387
387,9527249,8901149,9167846,8420007
388,5200357,7347183,9580199,8882416
389,7959620,7952221,7770855,8583476
390,8519528,9044249,8090940,9015054
391,7461198,7844584,5315697,6873175
392,8947544,8384214,5276867,7998195
393,7802979,8959563,9688402,7035284
394,9084738,5469704,9482375,6072293
395,5439624,7230111,6047342,7105850
396,5713239,5895836,8583296,7694310
397,9619298,5977368,7981490,5383298
398,5126113,6812500,5857549,6085470
399,7489140,8981918,5310178,5671294
400,6448318,5402273,5376189,6348264
401,9383006,9780852,6982272,9327964
402,8903342,5064917,7705291,6809476
403,6352937,8448325,6364295,8538066
404,6925199,6795136,8078081,6214846
405,6861983,5316411,5592115,9793463
406,7482881,8449174,5350387,6417344
407,6526511,7418188,7366283,8467903
408,7744189,6094755,8393196,8729582
409,7335183,5866967,7722694,6344112
410,6066711,7241826,7215828,8611405
411,6408438,9989605,9697401,5537403
412,9087883,6469715,6452510,8339981
413,5932778,9697691,9505496,5275458
414,7753087,7213545,6109826,7522242
415,9251251,8756129,9652713,9877231
416,8542887,7373380,8418786,7175780
417,9394488,9080608,7675523,5157170
418,5771388,6993316,5470018,5217855
419,7241553,7495597,7198786,5860515
420,8910480,8192955,5794131,5366399
421,8995969,7202505,8646413,7986783
422,5627595,5000211,8558376,7199156
423,9809638,5957403,8674837,6697711
424,7973279,7849453,5653271,6195876
425,9528626,9131846,5150859,6936283
426,7000208,8109073,7761917,6383371
427,6572603,7525858,9346530,6890288
428,8655804,8035750,6339431,6413484
429,5019743,9011854,5099777,9167433
430,8838972,9148684,6130016,9830796
431,6332926,9091298,8407075,9821226
432,8029159,5848367,8446725,5389360
433,5800597,7076450,7135418,7111612
434,8540635,8076989,7757864,6073073
435,8542374,8449136,7127404,7440896
436,8099151,9346676,8908238,5329906
437,5088832,5462800,8683400,8397445
438,8430320,8924251,6267519,7777973
439,7353992,7820267,5240959,8557527
440,5399217,5428875,9004239,9685827
441,7405177,7902617,5151945,7497186
442,5350216,5968639,7677702,7715310
443,9884878,5500080,6621368,8320913
444,5476075,7273416,6308599,7540481
445,8035219,9705693,5461885,5334435
446,8516053,5576484,9034247,6591224
447,8529548,9642024,7777027,5240092
448,5225968,8425756,5399629,6841668
449,8318818,7078042,6247362,8216231
450,7718808,7422377,9886515,5742661
451,9428948,8610611,6224943,5357920
452,5699539,8492024,5456944,6605976
453,6299044,6041605,7249029,6396491
454,5490363,8194607,6481091,6957300
455,5052812,6554162,7214962,8323909
456,6198955,9365153,9826495,7573003
457,9609411,5238324,8470145,9701008
458,9366807,9382083,7901519,5830875
459,8060051,6096515,7216489,7713691
460,9818346,8986271,7884142,5673063
461,7232487,9214308,5574993,6245199
462,9291703,7008842,6052788,5477503
463,8023296,6713034,7953922,5547160
464,8273652,6841001,8569420,5874978
465,5432428,6969087,9809250,8942745
466,7250087,6351192,9272884,6454040
467,9994619,9317670,7989695,6961419
468,7195956,8436226,8054512,5739384
469,5540884,8781518,5968782,7058646
470,7414174,7433381,9135482,6497824
471,8225275,6058189,5620862,9092598
472,5819567,6526382,7494918,9454921
473,5701475,7283993,6733327,7168527
474,7458928,5538435,5185691,8490249
475,6622044,8814841,5904962,7170653
476,5378934,6227476,7574988,8489058
477,5399853,5881730,9427754,8376277
478,7799492,9208266,6765608,6908663
479,6982871,5126266,6330719,8119188
480,6039981,9352029,9482708,6812089
481,9063855,5482633,6762735,8130354
482,6211509,5800141,6033444,9449208
483,9269215,5078097,9551136,6129496
484,6930638,9661666,7151864,7492713
485,9239288,9734945,9938658,6353087
486,5625494,9415687,8292588,7036910
487,6318154,7056726,8930931,7568743
488,5717044,8031412,9985627,9750808
489,5863598,7408371,9279887,8423107
490,5816632,6067870,6422069,5660654
491,5177731,9566206,7171113,5366494
492,9988252,9873150,5434552,9739800
493,6842562,5680409,8595320,8889035
494,8838752,7220617,7818871,5093064
495,5557360,9236801,9692767,9930252
496,9484973,9032620,6192369,7291457
497,9920146,9604730,9843471,6338659
498,8882109,9568355,5301027,6204221
499,5445435,6331984,8235065,9482800
500,9002711,6406755,9212285,8613562
501,5861037,5534379,6761525,6184287
502,5093917,7309406,9625141,9123400
503,5461040,9963601,9739480,5511542
504,7009081,6772203,9079854,7110170
505,6809141,8837767,5213571,7022119
506,5857879,8227665,6209146,6398867
507,7573731,6008402,7598357,9281094
508,5325058,9814827,7488680,5013880
509,6069564,9608757,8719257,8566608
510,6268141,6009059,7073133,6896451
511,8715709,5690724,9522065,5170188
512,6825018,8978268,8725301,8712361
513,6045081,5516950,7046073,9060069
514,6009223,9588254,8526431,6091360
515,8065349,7500408,5579991,8344286
516,8993709,8394200,7596337,9865547
517,6082598,5745422,5516571,5578385
518,9875601,5114401,6076710,5865348
519,5429803,7699328,5847441,9077838
520,8852067,9729385,7943677,8156918
521,5812941,5409695,6495508,7894427
522,7446422,8741213,6185270,8987160
523,7401366,9987363,9450217,8753222
524,6039477,8953232,9392043,6178395
525,9623828,8056632,6266332,9331324
526,7925853,6831605,7813014,5608221
527,9189499,6140076,6935030,5370705
528,5489623,8418876,9044983,6462305
529,8497415,8355900,5452851,5209119
530,9151738,7252361,5888713,9579856
531,6699947,7830181,7566682,6865519
532,9014095,9246233,7583573,9094847
533,6254340,9013330,6130330,9647960
534,7725854,8968779,6951783,8390407
535,8473603,5174692,5962991,5689237
536,9412178,6325223,5300742,7829151
537,7589162,6343170,5675741,7745877
538,8380204,7582448,6685632,6481192
539,6617437,7733218,5076378,5282110
540,5111776,8014976,9188100,5576917
541,8587390,9252701,5192495,6677139
542,7491983,7089458,6854353,9116695
543,5128683,9828139,7209303,8044009
544,9855563,6860443,7638092,5628159
545,9458243,8383780,6019467,5820489
546,5109689,7081199,5431266,5283158
547,5752099,8171058,6168789,6803035
548,7575234,6625415,8015108,5985881
549,9216694,8785588,7308171,6619865
550,6104277,9564915,6855443,5773711
551,6430038,6790303,5524715,8374297
552,6745152,9834584,5934524,5836092
553,9025475,5321260,6379862,8648307
554,8954531,7916854,5802099,8126676
555,8934771,8674472,5734429,9606533
556,5535212,7227561,5641484,7514862
557,6387225,6550009,5726813,5808993
558,7270371,7065205,8968876,7139210
559,6524206,7731337,8500695,8551056
560,6252660,9537180,9699191,9225743
561,7701840,7349194,9419558,8840728
562,5805923,5356461,9882792,8286590
563,9619965,9082659,7963172,8693066
564,8365758,5267872,8535784,8395791
565,7542900,9121158,6454084,6956331
566,6689200,7390004,5239185,7742896
567,6872440,6613353,5024342,9847226
568,8144125,9269625,5646896,6024971
569,6804977,5158824,7235273,8179702
570,7301151,9189908,8214201,6583067
571,5559926,5233598,8432657,6832600
572,5935255,9412249,6376850,9571844
573,9862981,9234284,5275285,6051019
574,5295241,7126024,7725714,9338555
575,7674014,7455931,8071154,8094198
576,7273858,5226940,7072687,7184515
577,9949902,5065979,9771699,7500879
578,7567622,6431497,5145076,7197980
579,5688594,5616425,9865740,5910847
580,5684161,6275111,8318979,7393260
581,8053372,6847035,9623733,7182385
582,6450357,7613522,8157555,7091176
583,5651351,9909966,6768241,8637908
584,9297897,6455049,6854516,8045069
585,6528299,7865422,7510491,6941175
586,9310711,7733135,8639862,6093291
587,5526383,5038507,8662067,9052985
588,5132453,6569965,9395293,6208705
589,8479756,5737617,8200674,5821463
590,8236837,7718825,5079450,7970234
591,5345191,8685391,8613036,9679407
592,6163500,5898830,9938277,7332818
593,9300522,8536643,6980000,7125081
594,9076910,6731593,5463793,6241062
595,7454598,5866443,8219624,8867702
596,5295706,7284315,7356261,7456627
597,6506204,6756404,5023395,7284397
598,7150059,6945579,5971307,8941983
599,6454696,5281491,8989214,5344876
600,6588469,6196138,6690319,5937085
601,9130725,9874493,5872254,5085589
602,8121847,6029086,8880211,8113150
603,9394369,6277710,6225163,9052284
604,9018284,9041406,7011104,9170489
605,9866958,8638728,7903557,5581196
606,6013335,5112401,5687427,9129952
607,7271187,9155392,6912281,9054680
608,5135899,5759594,9599999,8740990
609,6366605,8114483,9250013,9514617
610,8900751,6885564,7742256,7088161
611,5854331,8765432,8020085,8192833
612,9152387,6623907,5485037,6678687
613,7757262,5626534,7247042,9063034
614,8199131,5877123,6550177,6220394
615,7585857,6261734,5001594,6324862
616,9764432,5463941,5873818,6666649
617,9453093,6790419,9384410,8619159
618,9904611,6705363,8454691,5256814
619,9117721,6859841,9967033,5036162
620,7658440,9357239,8356373,6631236
621,6080885,8295896,9725517,7045378
622,7690762,5341615,5277422,7550273
623,6457800,6878378,8993317,6854679
624,8989490,5738561,8423851,8258464
625,5693609,5959301,5727465,8396108
626,7679627,6327745,6435398,9751333
627,5405947,7736006,9318670,9684816
628,8462853,5268036,8521412,5451417
629,9531291,5892936,5570889,8703422
630,8311410,5542820,9233527,8838412
631,5782000,6462102,6524347,8644309
632,9303234,5663985,6293823,5082245
633,9251910,5246033,9621874,5789798
634,7666086,5637515,6220057,8412589
635,8496207,6387711,5354222,6349618
636,9749100,7814626,7919869,9707380
637,5756523,7077257,9970719,5361961
638,7293846,8366621,9982575,6842586
639,6494192,6571069,5599772,7742216
640,8149139,6339331,7342808,5051482
641,8497227,6152574,8584602,7364998
642,6471233,6550887,6921046,7966846
643,7703876,6828284,5296548,5269197
644,8814630,6995321,5677101,6331690
645,9945560,8398783,6286632,8504013
646,5444571,8689957,8703885,7132756
647,8717079,5565758,9042992,8028922
648,8097976,6942790,6853738,7252191
649,5148613,6198293,5964871,6538553
650,8318282,7957014,5656806,5609474
651,5813700,7970619,5167941,6057769
652,9929230,5552928,9706040,7142384
653,5339626,6842768,7524072,7814509
654,6870721,5149885,7597744,9813533
655,7335863,5856496,6690024,8836475
656,8147004,6768753,7421528,6415146
657,6799858,7239896,9791092,5635161
658,9108627,6155627,7836184,5326907
659,7719138,5183238,5764683,6065451
660,9252201,8838260,6693891,9751698
661,9469073,7464461,8886016,5248096
662,8196018,6384418,6250844,9427637
663,6855254,6745871,7994101,6331225
664,9556701,7486437,8677691,9855405
665,8008147,5607159,8210729,6688949
666,7859356,9377218,8470127,5010244
667,8083399,7535701,8110395,9928479
668,8590590,9925187,7027413,7521657
669,5601187,5618058,8064035,5245131
670,8652502,8508227,8098351,8009069
671,6719644,7895015,6399935,6764952
672,8180325,6979026,8038096,9495296
673,8330183,5789163,8301813,8813960
674,9578019,6193740,6839622,7001853
675,7906782,6123273,8610195,6237902
676,5245678,7255274,9556421,8928021
677,6326509,7634461,9128166,9545361
678,8014781,8489015,7285171,6024867
679,5954336,9070534,9092125,5685771
680,5888049,9354609,9362060,6595035
681,9574202,6550765,8116451,8794600
682,8552300,6373952,7115914,5557609
683,8620150,6335073,9920959,7057919
684,5400096,9282689,6399556,5897524
685,8757632,7755194,5252760,7409618
686,9042418,9845880,7546894,8791972
687,6450122,7836565,7093593,6769192
688,8848729,5239367,6436540,6797978
689,7740216,7639074,9916996,9566169
690,9367053,7496408,6911220,6819170
691,6851730,7364609,6743869,9991534
692,8289196,6749468,7607695,5038826
693,9352279,6828615,7043859,5712348
694,7529662,6501719,6708071,5755796
695,7915729,8787019,5296626,7056639
696,6078227,8749233,9793635,7363496
697,8613398,9355305,9968811,7246422
698,9549368,7944964,9791433,5958992
699,9300849,5696523,8016437,9004684
700,7146300,7245602,6938501,6782447
701,5150455,5963287,8136847,5322004
702,7171845,8664576,8286930,8667880
703,6872104,6573591,9348471,6541313
704,8907303,5895507,8537223,8477839
705,5693346,8219666,8795082,6441319
706,5606921,5752046,5254438,6542774
707,8480268,9509163,6214275,8326028
708,7823714,9495569,6333053,7479076
709,5887002,7793958,8971041,6341538
710,8136207,7506100,5723930,6206451
711,8724702,7822238,8493330,8834907
712,7097677,5370283,5039770,5746060
713,9679423,9260079,5820212,6920810
714,6574473,9998584,9883880,5093283
715,7324048,6875559,5999498,9789997
716,5704269,7829979,5858491,7251378
717,9147836,9854121,7593862,6415354
718,6037516,6774950,8546930,9611104
719,6162597,5898957,8798497,7484051
720,5841476,7787051,6462285,9404859
721,7780358,6990255,5435051,7477160
722,8041073,6089043,9834576,9780329
723,7509515,5316886,8943543,6271999
724,8781502,7209467,9483357,5400145
725,5968720,6664374,8372251,5385278
726,9131360,6889794,5019632,5314500
727,5554518,5531309,7172399,7928855
728,9524028,5392830,8788415,9713661
729,9722641,9720075,6457774,7519868
730,6964031,8825731,9518292,6455093
731,6431504,6844588,7084983,8453616
732,7918858,5711373,8595012,8293703
733,7432060,5962485,8268031,8580064
734,7896682,6673916,6497572,6292962
735,5191589,6198572,5646328,6984445
736,9154240,9139309,9223357,9145500
737,9337459,9943643,9436512,5403228
738,5226648,6595989,8671584,5809114
739,7651085,5411742,8719972,8983437
740,8666532,5250197,6403423,5028796
741,9834138,8157742,9819531,7656116
742,9114481,8537755,8665532,5838614
743,9972965,8259070,6727205,7441783
744,8439710,6626249,6099248,6165131
745,9088189,8076601,8736428,5583694
746,8091162,6481597,9038132,6071114
747,5959471,7821003,8607568,6090408
748,5269359,7579161,8561248,7685028
749,9008811,9693112,8917644,8305625
750,9347032,8036869,7979860,9580312
751,7577736,8495126,9197517,8953095
752,9312849,5811428,5471750,8105103
753,6323783,9367003,6957690,6046423
754,7376431,6423103,6337557,8610950
755,6829239,6695022,5650679,5373356
756,9136503,5596492,5645675,6485573
757,7344495,5659832,7052545,6169300
758,7339830,9785589,9390197,7055479
759,6623405,8311391,6079430,9419574
760,6510796,9521264,8518020,6214845
761,6208571,6646287,6663706,7635284
762,5168661,8827018,6575174,8519956
763,7639486,8360381,9457737,8234640
764,9558136,9210403,7805136,8137411
765,5883648,6777992,7977988,9185106
766,6637794,7155146,8819347,9668560
767,8326523,7536477,6895535,7243585
768,8057045,9728553,9174907,5347577
769,8776411,7044377,6814161,5553849
770,5379364,7724346,7802588,9409955
771,5452184,6368620,6687276,7558925
772,7115278,5499385,9506597,8823396
773,8707868,9324070,7709850,5271101
774,5287385,6049381,9875685,8425414
775,7549784,7615264,9923931,7185952
